year,state,wvalue,lvalue
2004,Ghana,86,female
2005,Ghana,86,female
2006,Ghana,86,female
2007,Ghana,86,female
2008,Ghana,86,female
2009,Ghana,86,female
2010,Ghana,86,female
2011,Ghana,86,female
1995,Ghana,105,male
1996,Ghana,105,male
1997,Ghana,105,male
1998,Ghana,105,male
1999,Ghana,105,male
2000,Ghana,105,male
2001,Ghana,105,male
2002,Ghana,105,male
2003,Ghana,105,male
2004,Ghana,105,male
2005,Ghana,105,male
2006,Ghana,105,male
2007,Ghana,105,male
2008,Ghana,105,male
2009,Ghana,105,male
2010,Ghana,105,male
2011,Ghana,105,male
1995,Guatemala,1707,female
1996,Guatemala,1707,female
1997,Guatemala,1707,female
1998,Guatemala,1707,female
1999,Guatemala,1707,female
2000,Guatemala,1707,female
2001,Guatemala,1707,female
2002,Guatemala,1707,female
2003,Guatemala,1707,female
2004,Guatemala,1707,female
2005,Guatemala,1707,female
2006,Guatemala,1707,female
2007,Guatemala,1707,female
2008,Guatemala,1707,female
2009,Guatemala,1707,female
2010,Guatemala,1707,female
2011,Guatemala,1707,female
1995,Guatemala,2086,male
1996,Guatemala,2086,male
1997,Guatemala,2086,male
1998,Guatemala,2086,male
1999,Guatemala,2086,male
2000,Guatemala,2086,male
2001,Guatemala,2086,male
2002,Guatemala,2086,male
2003,Guatemala,2086,male
2004,Guatemala,2086,male
2005,Guatemala,2086,male
2006,Guatemala,2086,male
2007,Guatemala,2086,male
2008,Guatemala,2086,male
2009,Guatemala,2086,male
2010,Guatemala,2086,male
2011,Guatemala,2086,male
1995,Guyana,2548,female
1996,Guyana,2548,female
1997,Guyana,2548,female
1998,Guyana,2548,female
1999,Guyana,2548,female
2000,Guyana,2548,female
2001,Guyana,2548,female
2002,Guyana,2548,female
2003,Guyana,2548,female
2004,Guyana,2548,female
2005,Guyana,2523,female
2006,Guyana,2448,female
2007,Guyana,2498,female
2008,Guyana,2498,female
2009,Guyana,2498,female
2010,Guyana,2498,female
2011,Guyana,2498,female
1995,Guyana,2525,male
1996,Guyana,2525,male
1997,Guyana,2525,male
1998,Guyana,2525,male
1999,Guyana,2525,male
2000,Guyana,2525,male
2001,Guyana,2525,male
2002,Guyana,2525,male
2003,Guyana,2525,male
2004,Guyana,2525,male
2005,Guyana,2593,male
2006,Guyana,2690,male
2007,Guyana,2740,male
2008,Guyana,2740,male
2009,Guyana,2740,male
2010,Guyana,2740,male
2011,Guyana,2740,male
1995,Honduras,1012,female
1996,Honduras,1272,female
1997,Honduras,1558,female
1998,Honduras,1953,female
1999,Honduras,2320,female
2000,Honduras,2320,female
2001,Honduras,3263,female
2002,Honduras,3481,female
2003,Honduras,4064,female
2004,Honduras,4054,female
2005,Honduras,4638,female
2006,Honduras,4924,female
2007,Honduras,5653,female
2008,Honduras,6197,female
2009,Honduras,7177,female
2010,Honduras,7221,female
2011,Honduras,7221,female
1995,Honduras,1308,male
1996,Honduras,1575,male
1997,Honduras,1973,male
1998,Honduras,2400,male
1999,Honduras,2960,male
2000,Honduras,2960,male
2001,Honduras,3892,male
2002,Honduras,4105,male
2003,Honduras,4283,male
2004,Honduras,4501,male
2005,Honduras,4964,male
2006,Honduras,5343,male
2007,Honduras,6012,male
2008,Honduras,6742,male
2009,Honduras,7249,male
2010,Honduras,7050,male
2011,Honduras,7050,male
1995,Iceland,107000,female
1996,Iceland,107000,female
1997,Iceland,107000,female
1998,Iceland,107000,female
1999,Iceland,117000,female
2000,Iceland,129000,female
2001,Iceland,144000,female
2002,Iceland,157000,female
2003,Iceland,167000,female
2004,Iceland,177000,female
2005,Iceland,203000,female
2006,Iceland,226000,female
2007,Iceland,256000,female
2008,Iceland,279000,female
2009,Iceland,293000,female
2010,Iceland,309000,female
